title,company_name,job_description,link,skills
Senior kravställande datasamordnare med erfarenhet inom ProjectWise,"Ramboll Sverige AB, Göteborg",IT-samordnare,/platsbanken/annonser/27478585,[]
Akkodis söker extra- och sommarpersonal till IT-support,Akkodis Sweden AB,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27478488,[]
Software Release Office | Industrial Programs,Polestar,Systemadministratör,/platsbanken/annonser/27477938,[]
Service Desk tekniker Göteborg,Randstad,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27477917,[]
Product Owner,ECARX,"Civilingenjör, systemutveckling",/platsbanken/annonser/27477829,[]
Seniora testare till välbetalda och spännande statliga uppdrag!,Göteborg,Systemtestare,/platsbanken/annonser/27477253,[]
CLOUD ENGINEER,Scionova AB,Mjukvaruutvecklare,/platsbanken/annonser/27476158,[]
PLC Programmerare till Power Tech,A-hub,Systemutvecklare/Programmerare,/platsbanken/annonser/27475860,[]
.NET-utvecklare i början av din karriär!,AFRY AB,Mjukvaruutvecklare,/platsbanken/annonser/27475636,['.NET']
Embedded Software Verification Engineer,Group Trucks Technology,Systemtestare,/platsbanken/annonser/27475114,['C#']
Cybersecurity Engineer,Group Trucks Technology,"Säkerhetsansvarig, IT",/platsbanken/annonser/27475100,[]
System Architect,Group Trucks Technology,Systemarkitekt,/platsbanken/annonser/27475090,[]
Agila ledare inom IT och digitalisering,Nexer AB,"Projektledare, IT",/platsbanken/annonser/27474358,['Azure']
"Deputy, ECARX Sweden RnD Center",ECARX,"Civilingenjör, systemutveckling",/platsbanken/annonser/27473914,[]
First Line-Support till innovativt bolag i Göteborg!,Framtiden AB,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27473619,[]
Java developer for connected vehicles,Mission Consultancy Assistance Sweden AB,Mjukvaruutvecklare,/platsbanken/annonser/27473098,['Java']
Mjukvaruuvecklare med erfarenhet av C++,Mission Consultancy Assistance Sweden AB,Mjukvaruutvecklare,/platsbanken/annonser/27473069,[]
Pythonutvecklare med erfarenhet av testautomation eller CI/CD,Mission Consultancy Assistance Sweden AB,Mjukvaruutvecklare,/platsbanken/annonser/27473056,[]
Mjukvaruutvecklare för inbyggda system,Mission Consultancy Assistance Sweden AB,Mjukvaruutvecklare,/platsbanken/annonser/27473053,['Java']
Agile Coach,Biner,"Verksamhetskonsult, IT",/platsbanken/annonser/27472706,[]
Finanskonsult Dynamics 365FO,Göteborg,"Verksamhetskonsult, IT",/platsbanken/annonser/27472690,[]
Software Engineer - Core System Software,Volvo Car Corporation,Mjukvaruutvecklare,/platsbanken/annonser/27472109,[]
Vi söker IT-tekniker!,InfoCare,IT-tekniker/Datatekniker,/platsbanken/annonser/27471492,[]
Affärskonsult inom IFS,Framtiden AB,"Affärskonsult, IT",/platsbanken/annonser/27470857,[]
Embedded Försvar/E-mob/Med Tech,Semcon Sweden,Mjukvaruutvecklare,/platsbanken/annonser/27470223,[]
Full Stack-utvecklare/Systemutvecklare,Göteborgs universitet,Systemutvecklare/Programmerare,/platsbanken/annonser/27470059,[]
Software Engineer inom Automotive,Nexer AB,Mjukvaruutvecklare,/platsbanken/annonser/27469602,['Python']
Teknisk support på deltid till Stendahls!,Academic Work,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27469063,[]
Software Developer,Randstad,Mjukvaruutvecklare,/platsbanken/annonser/27468551,[]
Lead integrations engineer,Sector Alarm AB,IT-tekniker/Datatekniker,/platsbanken/annonser/27468361,['Azure']
Junior On-Site tekniker,Akkodis Sweden AB,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27468114,[]
Nyexaminerad testingenjör till ledande automotivebolag!,Professionals Nord Rekrytering AB,Systemtestare,/platsbanken/annonser/27468090,[]
"Presales, Technical Support",VideoXLink Europe AB,Helpdesktekniker/Supporttekniker,/platsbanken/annonser/27467464,[]
Infrastructure Engineer,APM Terminals Gothenburg AB,IT-tekniker/Datatekniker,/platsbanken/annonser/27467472,[]
Business Analyst - Talent Acquisition,Volvo Car Corporation,"Affärskonsult, IT",/platsbanken/annonser/27466799,[]
Data Protection & Group Security Manager to AB Lindex,AB Lindex,Datasäkerhetsansvarig,/platsbanken/annonser/27466773,[]
Dataskyddssamordnare i Göteborg,Bemannia,Datasäkerhetsansvarig,/platsbanken/annonser/27466710,[]
